mesto_na_lestvici,naslov_pesmi,ime_izvajalca,najvišje_mesto,tednov_na_lestvici
1,Perfect,Ed Sheeran,1,18
2,Rockstar,Post Malone Featuring 21 Savage,1,15
3,Havana,Camila Cabello Featuring Young Thug,2,20
4,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,4,16
5,Thunder,Imagine Dragons,4,35
6,Gucci Gang,Lil Pump,3,16
7,MotorSport,"Migos, Nicki Minaj & Cardi B",6,9
8,Too Good At Goodbyes,Sam Smith,4,16
9,Bad At Love,Halsey,8,17
10,Bodak Yellow (Money Moves),Cardi B,1,26
11,Love.,Kendrick Lamar Featuring Zacari,11,27
12,New Rules,Dua Lipa,12,22
13,All I Want For Christmas Is You,Mariah Carey,9,24
14,Bartier Cardi,Cardi B Featuring 21 Savage,14,1
15,Gummo,6ix9ine,12,7
16,I Fall Apart,Post Malone,16,14
17,Let You Down,NF,16,11
18,Young Dumb & Broke,Khalid,18,24
19,Shape Of You,Ed Sheeran,1,51
20,Sorry Not Sorry,Demi Lovato,6,25
21,What Lovers Do,Maroon 5 Featuring SZA,9,18
22,I Get The Bag,Gucci Mane Featuring Migos,11,19
23,Feel It Still,Portugal. The Man,4,28
24,Him & I,G-Eazy & Halsey,15,4
25,Believer,Imagine Dragons,4,47
26,Meant To Be,Bebe Rexha & Florida Georgia Line,26,10
27,How Long,Charlie Puth,26,12
28,Bank Account,21 Savage,12,25
29,Wolves,Selena Gomez X Marshmello,20,10
30,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,50
31,Plain Jane,A$AP Ferg Featuring Nicki Minaj,26,14
32,Mi Gente,J Balvin & Willy William Featuring Beyonce,3,26
33,The Weekend,SZA,29,22
34,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,3,35
35,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,24,18
36,Rockin' Around The Christmas Tree,Brenda Lee,14,22
37,That's What I Like,Bruno Mars,1,50
38,It's The Most Wonderful Time Of The Year,Andy Williams,32,5
39,Attention,Charlie Puth,5,36
40,End Game,Taylor Swift Featuring Ed Sheeran & Future,39,6
41,Sky Walker,Miguel Featuring Travis Scott,35,14
42,The Christmas Song (Merry Christmas To You),Nat King Cole,37,12
43,River,Eminem Featuring Ed Sheeran,11,2
44,Silence,Marshmello Featuring Khalid,30,20
45,Marry Me,Thomas Rhett,45,4
46,A Holly Jolly Christmas,Burl Ives,38,5
47,Unforgettable,French Montana Featuring Swae Lee,3,38
48,What About Us,P!nk,13,21
49,Lemon,N*E*R*D & Rihanna,46,8
50,Candy Paint,Post Malone,50,10
51,Roll In Peace,Kodak Black Featuring XXXTENTACION,51,19
52,La Modelo,Ozuna x Cardi B,52,1
53,Ric Flair Drip,Offset & Metro Boomin,44,9
54,Lights Down Low,MAX Featuring gnash,54,12
55,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,52,14
56,Like I Loved You,Brett Young,54,14
57,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",46,16
58,Greatest Love Story,LANCO,45,17
59,Rubbin Off The Paint,YBN Nahmir,46,8
60,Good Old Days,Macklemore Featuring Kesha,60,10
61,...Ready For It?,Taylor Swift,4,17
62,Yours,Russell Dickerson,62,11
63,I'll Name The Dogs,Blake Shelton,58,16
64,The Race,Tay-K,44,20
65,Eye 2 Eye,Huncho Jack Featuring Takeoff,65,1
66,Look What You Made Me Do,Taylor Swift,1,19
67,Kooda,6ix9ine,50,4
68,Modern Slavery,Huncho Jack,68,1
69,Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid,69,1
70,Codeine Dreaming,Kodak Black Featuring Lil Wayne,52,5
71,Black & Chinese,Huncho Jack,71,1
72,Round Here Buzz,Eric Church,68,14
73,Light It Up,Luke Bryan,57,18
74,Echame La Culpa,Luis Fonsi & Demi Lovato,47,6
75,Betrayed,Lil Xan,67,7
76,Losing Sleep,Chris Young,63,14
77,No Smoke,YoungBoy Never Broke Again,77,4
78,Tell Me You Love Me,Demi Lovato,53,5
79,You Broke Up With Me,Walker Hayes,79,10
80,Ice Tray,Quavo & Lil Yachty,80,2
